routeId,routeCode,customerRouteCode,route,startName,endName,startStopCode,endStopCode,startTime,endTime,days,linetype,Variant
339,15S-JI,15S,Jaimangal - Iskcon Cross Road,Jaimangal,ISKCON Cross Road,13,144,06:00:00,16:39:00,"1,2,3,4,5,6,7",BRTS,NORMAL
340,15S-PA,15S,Pragatinagar - Airport,Pragatinagar,Ahmedabad Domestic Airport,10,1001,06:00:00,06:00:00,"1,2,3,4,5,6,7",BRTS,NORMAL
341,15S-PR,15S,Pragatinagar - R.T.O Circle,Pragatinagar,R.T.O Circle,10,1,07:17:00,18:18:00,"1,2,3,4,5,6,7",BRTS,NORMAL
342,15E-AS,15E,Airport - Shastrinagar,Ahmedabad Domestic Airport,Shastrinagar,1002,11,22:25:00,22:25:00,"1,2,3,4,5,6,7",BRTS,NORMAL
343,15E-IJ,15E,Iskcon Cross Road - Jaimangal,ISKCON Cross Road,Jaimangal,143,14,10:56:00,22:37:00,"1,2,3,4,5,6,7",BRTS,NORMAL
344,15E-RS,15E,R.T.O Circle - Shastrinagar,R.T.O Circle,Shastrinagar,318,11,12:22:00,22:37:00,"1,2,3,4,5,6,7",BRTS,NORMAL
347,15U,15U,R.T.O Circle - Iskcon Cross Road,R.T.O Circle,ISKCON Cross Road,318,144,07:05:00,21:47:00,"1,2,3,4,5,6,7",BRTS,NORMAL
348,15U-AI,15U,Ahmedabad Domestic Airport - Iskcon Cross Road,Ahmedabad Domestic Airport,ISKCON Cross Road,1002,144,06:00:00,22:45:00,"1,2,3,4,5,6,7",BRTS,NORMAL
351,16D-NS,16D,Nehrunagar - Sanand Circle,Nehrunagar,Sanand Circle,32,348,06:20:00,22:45:00,"1,2,3,4,5,6,7",BRTS,NORMAL
352,16S,16S,Jaimangal - Nehrunagar,Jaimangal,Nehrunagar,13,31,06:01:00,18:14:00,"1,2,3,4,5,6,7",BRTS,NORMAL
353,16S-JS,16S,Jaimangal - Sanand Circle,Jaimangal,Sanand Circle,13,348,06:00:00,17:36:00,"1,2,3,4,5,6,7",BRTS,NORMAL
355,16E,16E,Nehrunagar - Jaimangal,Nehrunagar,Jaimangal,32,14,12:20:00,22:29:00,"1,2,3,4,5,6,7",BRTS,NORMAL
356,16E-SJ,16E,Sanand Circle - Jaimangal,Sanand Circle,Jaimangal,349,14,13:36:00,22:50:00,"1,2,3,4,5,6,7",BRTS,NORMAL
358,16U-SN,16U,Sanand Circle - Nehrunagar,Sanand Circle,Nehrunagar,349,31,06:20:00,22:18:00,"1,2,3,4,5,6,7",BRTS,NORMAL
359,17D,17D,Nehrunagar - South Bopal,Nehrunagar,South Bopal BRTS Terminus,32,356,06:25:00,22:46:00,"1,2,3,4,5,6,7",BRTS,NORMAL
360,17S,17S,Jaimangal - Nehrunagar,Jaimangal,Nehrunagar,13,31,06:07:00,18:14:00,"1,2,3,4,5,6,7",BRTS,NORMAL
361,17S-JB,17S,Jaimangal - South Bopal,Jaimangal,South Bopal BRTS Terminus,13,356,06:00:00,07:11:00,"1,2,3,4,5,6,7",BRTS,NORMAL
362,17E,17E,Nehrunagar - Jaimangal,Nehrunagar,Jaimangal,32,14,12:04:00,16:08:00,"1,2,3,4,5,6,7",BRTS,NORMAL
363,17E-BJ,17E,South Bopal - Jaimangal,South Bopal BRTS Terminus,Jaimangal,357,14,12:30:00,22:48:00,"1,2,3,4,5,6,7",BRTS,NORMAL
